0 -0.00963582 0.102245
0.344828 0.0280944 0.0966696
0.689655 -0.0422026 0.15318
1.03448 0.246414 0.0714784
1.37931 0.296025 0.0973198
1.72414 0.388142 0.112738
2.06897 0.501679 0.0882956
2.41379 0.600023 0.113534
2.75862 0.719339 0.134909
3.10345 1.06889 0.116526
3.44828 1.17444 0.127723
3.7931 1.45521 0.100993
4.13793 1.89216 0.117822
4.48276 2.04778 0.0633689
4.82759 2.06151 0.123191
5.17241 1.73385 0.12395
5.51724 1.64427 0.105589
5.86207 1.60589 0.0708899
6.2069 1.49196 0.0808054
6.55172 1.22105 0.0914039
6.89655 1.36793 0.0713068
7.24138 1.30543 0.103584
7.58621 1.75544 0.127587
7.93103 1.33795 0.0895112
8.27586 1.61978 0.108545
8.62069 1.73636 0.129287
8.96552 1.52308 0.104867
9.31034 1.71899 0.100877
9.65517 2.10923 0.0947213
10 2.01433 0.133776
