10 10
9.99439 9.01517 7.97973 7.01960 5.98625 5.00495 4.00370 2.99069 2.01022 0.99348 
9.01517 8.95895 8.05503 6.94639 6.03829 4.98501 3.99194 3.02323 1.97395 1.01674 
7.97973 8.05503 7.92561 7.07372 5.94514 5.02528 4.00454 2.97520 2.02975 0.98047 
7.01960 6.94639 7.07372 6.92436 6.06071 4.96467 4.00854 3.01106 1.98172 1.01301 
5.98625 6.03829 5.94514 6.06071 5.94389 5.04397 3.97119 3.01506 1.99432 1.00125 
5.00495 4.98501 5.02528 4.96467 5.04397 4.95041 4.05049 2.95445 2.03459 0.98131 
4.00370 3.99194 4.00454 4.00854 3.97119 4.05049 3.93367 3.07003 1.94144 1.03334 
2.99069 3.02323 2.97520 3.01106 3.01506 2.95445 3.07003 2.92066 2.06878 0.96014 
2.01022 1.97395 2.02975 1.98172 1.99432 2.03459 1.94144 2.06878 1.93936 1.03543 
0.99348 1.01674 0.98047 1.01301 1.00125 0.98131 1.03334 0.96014 1.03543 0.97922 
